-0.00444482+0.000132711j,-0.00475696+0.00014203j,-0.00316902+9.46187e-05j,-0.000694564+2.07379e-05j,0.00153124-4.57188e-05j,0.002687-8.02268e-05j,0.00245558-7.33171e-05j,0.00115284-3.44208e-05j,-0.000537392+1.60451e-05j,-0.00181472+5.41828e-05j,-0.00217137+6.48314e-05j,-0.00151322+4.51809e-05j,-0.000228906+6.83452e-06j,0.00108095-3.22744e-05j,0.00181485-5.41867e-05j,0.00169754-5.06842e-05j,0.000814888-2.43304e-05j,-0.000381061+1.13775e-05j,-0.00135489+4.04535e-05j,-0.00166722+4.97788e-05j,-0.00122257+3.65027e-05j,-0.000241077+7.19795e-06j,0.000804287-2.40139e-05j,0.00145179-4.33467e-05j,0.00141898-4.23672e-05j,0.000752136-2.24568e-05j,-0.000232624+6.94556e-06j,-0.00107741+3.21687e-05j,-0.0014135+4.22033e-05j,-0.00109977+3.28363e-05j,-0.000305079+9.10885e-06j,0.000608675-1.81735e-05j,0.00121722-3.63431e-05j,0.00126706-3.78311e-05j,0.000739864-2.20904e-05j,-0.000101419+3.02809e-06j,-0.000880323+2.62841e-05j,-0.00123969+3.70139e-05j,-0.00103618+3.09377e-05j,-0.000367163+1.09625e-05j,0.000447621-1.33648e-05j,0.00104725-3.12683e-05j,0.00115717-3.45501e-05j,0.000748641-2.23525e-05j,7.12009e-06-2.12587e-07j,-0.000719212+2.14738e-05j,-0.00110833+3.3092e-05j,-0.000990775+2.9582e-05j,-0.000447076+1.33485e-05j
-0.00446657+0.000143986j,-0.00479318+0.000153063j,-0.00320006+0.000103759j,-0.000703411+2.34855e-05j,0.0015497-5.11532e-05j,0.00272367-9.16299e-05j,0.00249192-8.45352e-05j,0.00117061-3.96186e-05j,-0.000547145+1.99695e-05j,-0.00184724+6.54878e-05j,-0.00221105+7.83394e-05j,-0.00154133+5.45891e-05j,-0.000232721+8.04826e-06j,0.00110249-3.95512e-05j,0.0018511-6.6348e-05j,0.00173171-6.22733e-05j,0.000831954-3.05002e-05j,-0.000387583+1.26212e-05j,-0.00138059+4.76843e-05j,-0.00169945+5.89616e-05j,-0.00124664+4.30568e-05j,-0.000246917+7.97093e-06j,0.000818017-2.94418e-05j,0.00147774-5.27895e-05j,0.00144501-5.21734e-05j,0.000767029-2.92803e-05j,-0.000234278+4.76387e-06j,-0.00109329+3.3997e-05j,-0.00143511+4.56414e-05j,-0.00111668+3.4887e-05j,-0.000309539+7.56748e-06j,0.000618524-2.38574e-05j,0.00123706-4.4937e-05j,0.00128875-4.70195e-05j,0.000755363-2.95239e-05j,-9.65837e-05-1.27361e-06j,-0.000885361+2.50749e-05j,-0.00124934+3.76199e-05j,-0.00104338+3.15902e-05j,-0.00036638+1.02693e-05j,0.000458018-1.57482e-05j,0.00106441-3.45046e-05j,0.00117516-3.6979e-05j,0.000761059-2.2208e-05j,9.68239e-06+3.6884e-06j,-0.000727235+2.93038e-05j,-0.0011243+4.40433e-05j,-0.00101021+4.22294e-05j,-0.00046572+2.61772e-05j
-0.00453036+0.000179269j,-0.0048991+0.000196144j,-0.00329044+0.000140441j,-0.000729019+3.46655e-05j,0.00160313-7.20821e-05j,0.00282935-0.000134889j,0.00259657-0.000127219j,0.00122255-5.97511e-05j,-0.000572635+3.34488e-05j,-0.00193624+0.000106441j,-0.00231982+0.000127934j,-0.00161827+9.02587e-05j,-0.000243481+1.48403e-05j,0.00116018-6.29695e-05j,0.00194808-0.000107645j,0.00182287-0.00010233j,0.000877656-5.22234e-05j,-0.000404051+1.66659e-05j,-0.0014473+7.30363e-05j,-0.00178334+9.21249e-05j,-0.00130987+6.83912e-05j,-0.000263934+1.45806e-05j,0.000850277-4.33026e-05j,0.00154043-7.99586e-05j,0.00150756-8.04724e-05j,0.000801509-4.73949e-05j,-0.000241112+2.52199e-06j,-0.00113552+4.56793e-05j,-0.00149186+6.33037e-05j,-0.0011625+4.85442e-05j,-0.000325862+9.77855e-06j,0.00063597-3.50493e-05j,0.00127769-6.56118e-05j,0.00133308-6.96601e-05j,0.000784311-4.6548e-05j,-9.33751e-05-8.34199e-06j,-0.000905705+2.75481e-05j,-0.00128052+4.50986e-05j,-0.00106857+3.78655e-05j,-0.000372335+1.03762e-05j,0.000475383-2.33278e-05j,0.00109885-4.73608e-05j,0.00121349-4.99648e-05j,0.000789095-2.97509e-05j,1.81506e-05+5.34433e-06j,-0.000739604+4.0779e-05j,-0.00115141+6.29771e-05j,-0.00104239+6.45593e-05j,-0.000494328+4.78786e-05j
-0.00462962+0.000247546j,-0.00506262+0.000293505j,-0.00342846+0.000224499j,-0.000768395+6.1057e-05j,0.00168106-0.000116778j,0.00298292-0.000227309j,0.00274787-0.000219253j,0.00129928-0.000106063j,-0.000602795+5.41681e-05j,-0.00205199+0.000181834j,-0.00246129+0.00022126j,-0.00171772+0.000158998j,-0.00025803+3.12256e-05j,0.00123139-0.000101265j,0.00206704-0.000178749j,0.00193368-0.000172733j,0.000933068-9.25222e-05j,-0.000422441+1.92379e-05j,-0.00152401+0.000111238j,-0.0018793+0.000144121j,-0.00138201+0.000109117j,-0.000284334+2.68559e-05j,0.000883915-6.22179e-05j,0.00160661-0.000119034j,0.00157295-0.00012127j,0.000836659-7.30074e-05j,-0.000249407+3.93978e-07j,-0.00118029+6.40783e-05j,-0.00155109+9.06413e-05j,-0.00121028+7.05548e-05j,-0.000343904+1.6048e-05j,0.000651183-4.7022e-05j,0.00131502-9.01365e-05j,0.00137302-9.62106e-05j,0.000808357-6.47839e-05j,-9.48371e-05-1.2581e-05j,-0.00093007+3.63871e-05j,-0.00131531+6.05536e-05j,-0.00109773+5.13236e-05j,-0.000383549+1.50128e-05j,0.000485781-2.9735e-05j,0.0011251-6.19217e-05j,0.00124382-6.63899e-05j,0.000811347-4.13868e-05j,2.50014e-05+2.68451e-06j,-0.000748178+4.73596e-05j,-0.0011692+7.56256e-05j,-0.00106091+7.85962e-05j,-0.000507168+5.9417e-05j
-0.00475147+0.000362475j,-0.00526057+0.000466732j,-0.00359152+0.000374441j,-0.000814223+0.000111491j,0.00176764-0.000185289j,0.00315015-0.000373115j,0.00290929-0.000365418j,0.00138081-0.000183865j,-0.000629692+7.39737e-05j,-0.00216134+0.000279488j,-0.00259256+0.000344573j,-0.00180751+0.000251178j,-0.000270003+5.73969e-05j,0.00129425-0.000142454j,0.00216875-0.000259584j,0.002026-0.000253386j,0.000978123-0.00013992j,-0.000437049+1.83198e-05j,-0.00158365+0.00014814j,-0.00195245+0.000195679j,-0.00143628+0.000150125j,-0.000300389+4.10576e-05j,0.000906108-7.66821e-05j,0.00165062-0.000151346j,0.00161536-0.00015463j,0.000858076-9.28486e-05j,-0.000256639+5.67311e-07j,-0.00121052+8.11544e-05j,-0.00158958+0.000114751j,-0.00124078+9.02981e-05j,-0.000355743+2.36139e-05j,0.000659313-5.30746e-05j,0.00133582-0.000105188j,0.00139482-0.000112456j,0.00082076-7.50208e-05j,-9.67391e-05-1.32234e-05j,-0.000944211+4.42891e-05j,-0.00133447+7.2407e-05j,-0.00111323+6.14788e-05j,-0.000389231+1.93599e-05j,0.000491279-3.2167e-05j,0.00113825-6.89561e-05j,0.0012584-7.40777e-05j,0.000821439-4.60217e-05j,2.76548e-05+2.89348e-06j,-0.000752006+5.16798e-05j,-0.00117557+8.14811e-05j,-0.00106539+8.31255e-05j,-0.000507316+6.10435e-05j
-0.00487765+0.000532331j,-0.00546031+0.000726812j,-0.00374709+0.00059761j,-0.000851362+0.000191114j,0.00185307-0.000269066j,0.00330228-0.000557942j,0.00304864-0.000550039j,0.0014475-0.000285231j,-0.000652483+8.58924e-05j,-0.00224608+0.000377711j,-0.00268914+0.000469703j,-0.00186933+0.000344195j,-0.000274762+8.57441e-05j,0.0013398-0.000177089j,0.00223699-0.000329599j,0.00208472-0.000323172j,0.00100503-0.000182521j,-0.00044671+1.19738e-05j,-0.00161873+0.000170007j,-0.00199381+0.000228193j,-0.0014664+0.000176013j,-0.000310352+5.04508e-05j,0.000914807-8.39566e-05j,0.00166892-0.000168207j,0.00163212-0.000171582j,0.000865176-0.000102657j,-0.000261448+3.67317e-07j,-0.00122394+8.84036e-05j,-0.00160525+0.000124756j,-0.00125264+9.84701e-05j,-0.000360444+2.73826e-05j,0.000661466-5.37174e-05j,0.00134184-0.000108415j,0.00140078-0.000115935j,0.00082373-7.71256e-05j,-9.77067e-05-1.35732e-05j,-0.000948009+4.50041e-05j,-0.00133889+7.30887e-05j,-0.00111607+6.13033e-05j,-0.000389342+1.81777e-05j,0.000493719-3.38767e-05j,0.00114198-7.04294e-05j,0.00126182-7.47173e-05j,0.00082336-4.56972e-05j,2.78449e-05+3.76665e-06j,-0.000752813+5.2325e-05j,-0.00117602+8.11034e-05j,-0.00106435+8.13649e-05j,-0.000504665+5.83048e-05j
-0.00498802+0.000757569j,-0.00562728+0.00106971j,-0.00386181+0.000884764j,-0.000862312+0.000294639j,0.00193559-0.000360852j,0.00342514-0.000762253j,0.00315011-0.000750561j,0.00148951-0.000396445j,-0.000673437+8.81206e-05j,-0.00230427+0.000461122j,-0.00274919+0.000576117j,-0.00190361+0.00042184j,-0.00027431+0.000109973j,0.00136655-0.000201674j,0.00227201-0.000379826j,0.00211094-0.000372922j,0.00101321-0.00021437j,-0.000456086+2.413e-06j,-0.0016384+0.000176875j,-0.00201471+0.000241503j,-0.00148196+0.000187444j,-0.000318436+5.62462e-05j,0.000912496-8.3238e-05j,0.00166888-0.000169863j,0.00163135-0.000173131j,0.000862301-0.000103084j,-0.000266+6.96536e-07j,-0.00122889+8.87116e-05j,-0.00160937+0.000124763j,-0.00125551+9.87317e-05j,-0.000362374+2.88351e-05j,0.000659804-5.04964e-05j,0.00134002-0.000103812j,0.00139884-0.000111267j,0.000822167-7.40763e-05j,-9.83394e-05-1.33225e-05j,-0.000947428+4.23782e-05j,-0.00133735+6.87051e-05j,-0.00111419+5.6923e-05j,-0.000387854+1.53897e-05j,0.000494398-3.44085e-05j,0.00114186-6.91866e-05j,0.00126137-7.30199e-05j,0.000823144-4.49639e-05j,2.82885e-05+2.69345e-06j,-0.000751628+4.95184e-05j,-0.00117425+7.73394e-05j,-0.00106228+7.76668e-05j,-0.000502705+5.55091e-05j
-0.00506478+0.00103158j,-0.0057333+0.00147883j,-0.00391181+0.00121409j,-0.000835948+0.000408586j,0.00201572-0.000458238j,0.00351528-0.00097123j,0.00321141-0.000949994j,0.00150597-0.000507421j,-0.000694794+8.11771e-05j,-0.00234191+0.000524061j,-0.00278166+0.000657437j,-0.00191857+0.000480534j,-0.000271685+0.000129447j,0.00137866-0.000215825j,0.00228343-0.000410447j,0.00211486-0.000403065j,0.00100815-0.00023417j,-0.000467334-5.33021e-06j,-0.00165154+0.000177799j,-0.00202643+0.000246591j,-0.00149105+0.000193706j,-0.000325532+6.27449e-05j,0.000906177-7.63877e-05j,0.00166254-0.000162697j,0.00162515-0.000166454j,0.000856999-9.80966e-05j,-0.000269607+3.16334e-06j,-0.00123067+8.89037e-05j,-0.0016099+0.000123976j,-0.00125589+9.87369e-05j,-0.000363505+3.0926e-05j,0.000657536-4.61327e-05j,0.00133703-9.82357e-05j,0.001396-0.000106214j,0.000820446-7.1158e-05j,-9.84567e-05-1.32423e-05j,-0.000946073+4.00614e-05j,-0.00133526+6.53366e-05j,-0.00111228+5.40313e-05j,-0.000386839+1.40011e-05j,0.000494342-3.42395e-05j,0.00114109-6.82834e-05j,0.00126061-7.26277e-05j,0.000823043-4.60371e-05j,2.9163e-05-3.05153e-08j,-0.00074998+4.58317e-05j,-0.0011723+7.37932e-05j,-0.00106053+7.5154e-05j,-0.000501387+5.42468e-05j
-0.00509466+0.0013435j,-0.00576041+0.00193151j,-0.00388609+0.0015602j,-0.000769894+0.00051866j,0.00209291-0.000560986j,0.00357398-0.00117616j,0.00323608-0.00113967j,0.00149898-0.000613904j,-0.000719571+6.5935e-05j,-0.00236788+0.000567414j,-0.00279807+0.000716487j,-0.00192309+0.000523989j,-0.000268841+0.000145955j,0.00138212-0.0002217j,0.00228252-0.000427032j,0.00210823-0.000419606j,0.000997587-0.000244693j,-0.000478855-8.64256e-06j,-0.00166161+0.000180152j,-0.00203424+0.000252489j,-0.00149709+0.000201535j,-0.000330888+7.15528e-05j,0.000900822-6.73349e-05j,0.00165717-0.00015412j,0.00162041-0.00015907j,0.000853603-9.22698e-05j,-0.000271276+7.55157e-06j,-0.00123088+9.2467e-05j,-0.00160936+0.000127433j,-0.00125547+0.000102595j,-0.000363776+3.51747e-05j,0.000656446-4.19184e-05j,0.00133552-9.46971e-05j,0.00139468-0.000103812j,0.00081989-7.00131e-05j,-9.80325e-05-1.30592e-05j,-0.000944808+3.97574e-05j,-0.00133363+6.49995e-05j,-0.00111079+5.3843e-05j,-0.000385867+1.38634e-05j,0.000494781-3.46662e-05j,0.00114125-6.93617e-05j,0.00126093-7.46097e-05j,0.000823881-4.88965e-05j,3.06655e-05-3.46544e-06j,-0.000748017+4.23574e-05j,-0.00117026+7.07883e-05j,-0.00105878+7.28386e-05j,-0.000500047+5.2364e-05j
-0.005069+0.00168088j,-0.00569989+0.00240463j,-0.00378348+0.00190086j,-0.000667165+0.000614442j,0.00216612-0.000668672j,0.00360421-0.00137247j,0.00322871-0.00131633j,0.00147034-0.000714433j,-0.00075139+4.45675e-05j,-0.00239062+0.000596117j,-0.00280808+0.00076023j,-0.00192391+0.00055826j,-0.000266836+0.000161627j,0.00138152-0.000222091j,0.0022772-0.000435782j,0.00209905-0.000429131j,0.000987123-0.000250205j,-0.000488262-8.39451e-06j,-0.00166863+0.000185606j,-0.00203896+0.000261446j,-0.00150023+0.000211889j,-0.000333356+8.15009e-05j,0.000898619-5.89979e-05j,0.00165521-0.000147698j,0.00161909-0.000154136j,0.000853168-8.78963e-05j,-0.000270716+1.22115e-05j,-0.00122963+9.78476e-05j,-0.00160784+0.000133289j,-0.0012542+0.000108241j,-0.000362999+3.97828e-05j,0.000656684-3.8829e-05j,0.00133547-9.31081e-05j,0.00139464-0.000103187j,0.000820151-6.96614e-05j,-9.74017e-05-1.24345e-05j,-0.000943875+4.07405e-05j,-0.00133264+6.60125e-05j,-0.00110993+5.42933e-05j,-0.000385267+1.32669e-05j,0.000495179-3.64926e-05j,0.00114159-7.21906e-05j,0.00126146-7.80028e-05j,0.000824731-5.24017e-05j,3.18689e-05-6.84498e-06j,-0.000746625+3.91543e-05j,-0.00116892+6.76783e-05j,-0.00105772+6.97104e-05j,-0.000499285+4.90391e-05j
-0.0049828+0.0020313j,-0.00554932+0.00287741j,-0.0036079+0.00221896j,-0.000532022+0.00068949j,0.00223514-0.000780862j,0.00360954-0.00155826j,0.0031935-0.00147911j,0.00142144-0.000807855j,-0.000792914+2.0469e-05j,-0.00241568+0.000616094j,-0.00281752+0.000795144j,-0.00192468+0.000587793j,-0.000266042+0.00017732j,0.00137923-0.000219392j,0.00227108-0.000440721j,0.00209054-0.000435556j,0.000978712-0.000253697j,-0.000494913-6.91725e-06j,-0.00167275+0.000191683j,-0.0020409+0.000270316j,-0.00150062+0.000221152j,-0.000332962+8.92934e-05j,0.000899454-5.35672e-05j,0.00165628-0.000144301j,0.00162044-0.000151759j,0.000854734-8.53268e-05j,-0.000269+1.56787e-05j,-0.00122802+0.000102276j,-0.00160648+0.000138088j,-0.00125325+0.000112656j,-0.000362424+4.32005e-05j,0.000656958-3.65175e-05j,0.00133563-9.16104e-05j,0.00139476-0.000101942j,0.000820309-6.82392e-05j,-9.72804e-05-1.06853e-05j,-0.000943832+4.25498e-05j,-0.00133275+6.74054e-05j,-0.00111015+5.47534e-05j,-0.000385539+1.25366e-05j,0.000494994-3.83655e-05j,0.00114157-7.48457e-05j,0.00126166-8.10207e-05j,0.000825112-5.54772e-05j,3.23593e-05-9.9703e-06j,-0.000746159+3.58056e-05j,-0.00116857+6.39137e-05j,-0.00105756+6.55343e-05j,-0.000499243+4.45869e-05j
